"PHRMCY_NBR","PHRMCY_NAM","PHRMCY_NBR_SALES_REVENUE"
"4416100399456673861","GNP PHARMACY #453",2116067.26
"2487426938853675539","GNP PHARMACY #200",1743900.83
"61520549788616420","GNP PHARMACY #680",1701263.19
"3009693108150153253","GNP PHARMACY #269",1437316.97
"2759406693434064370","GNP PHARMACY #232",574577.54
"1174450154022548624","GNP PHARMACY #18",522080.09
"6991356705459241502","GNP PHARMACY #795",519509.13
"657046048504326744","GNP PHARMACY #739",471032.51
"7003025686214903268","GNP PHARMACY #798",412827.33
"8506230257184703229","GNP PHARMACY #990",397611.05
